lat,lon,radius_km
52.203,-105.089,1
51.404,-1.514,1
56.733,8.403,1
42.557,-0.712,1
48.946,16.728,1
54.492,9.062,1
45.052,-63.476,1
-32.449,118.892,1
36.227,140.322,1
45.314,-73.207,1
43.547,-111.963,1
42.333,-95.439,1
47.03,28.844,1
38.726,-9.159,1
40.515,-101.63,1
41.357,-93.616,1
40.739,-79.112,1
39.442,-1.739,1
46.661,8.053,1
-29.776,151.114,1
57.486,-4.219,1
37.948,-95.408,1
-8.139,35.41,1
48.596,-1.179,1
45.305,10.322,1
36.764,14.914,1
45.557,3.25,1
46.956,2.013,1
46.987,30.458,1
43.233,141.797,1
39.81,141.118,1
39.193,141.115,1
50.964,18.389,1
42.697,-88.951,1
47.776,17.135,1
38.388,-86.943,1
47.635,19.915,1
41.578,-80.76,1
56.521,25.847,1
36.71,-6.118,1
-35.355,145.725,1
45.188,21.049,1
66.605,19.832,1
57.745,14.06,1
48.51,-71.275,1
31.602,-91.692,1
45.158,18.384,1
50.955,6.436,1
-30.784,121.459,1
58.664,13.192,1
45.59,15.598,1
48.927,28.105,1
46.361,17.825,1
47.353,20.931,1
49.011,8.411,1
40.253,22.513,1
46.881,19.699,1
44.211,-78.328,1
-31.622,117.703,1
55.596,-2.44,1
64.936,25.513,1
36.247,-90.066,1
46.968,7.189,1
51.286,6.012,1
54.065,21.36,1
52.879,-1.078,1
36.221,-121.127,1
49.483,-111.464,1
31.501,130.524,1
49.955,36.127,1
36.321,139.233,1
-37.292,144.951,1
52.844,-111.874,1
56.455,-4.321,1
-7.663,36.992,1
49.185,-99.654,1
-28.703,24.779,1
51.474,-109.123,1
58.459,-5.052,1
52.95,-105.034,1
57.245,-2.329,1
54.84,-4.047,1
58.953,-2.902,1
-36.83,139.864,1
46.274,19.496,1
35.195,-77.527,1
43.004,141.562,1
43.802,143.801,1
53.928,13.642,1
-33.481,151.392,1
50.17,13.638,1
42.588,-95.958,1
53.624,13.063,1
45.137,-64.436,1
31.426,130.883,1
51.193,14.849,1
63.827,23.157,1
-30.557,29.426,1
50.036,15.22,1
58.369,22.684,1
51.717,14.29,1
47.744,18.079,1
46.947,21.08,1
52.173,5.818,1
54.102,18.133,1
-25.872,26.901,1
54.177,16.138,1
50.799,25.675,1
51.295,33.511,1
50.066,19.92,1
-35.735,143.922,1
49.286,17.406,1
48.143,14.466,1
53.388,7.048,1
53.09,20.514,1
44.022,-92.742,1
45.655,18.143,1
51.812,17.979,1
32.894,130.862,1
58.256,22.51,1
53.608,18.655,1
42.871,140.885,1
52.236,19.312,1
55.204,10.561,1
66.942,17.739,1
49.959,30.977,1
44.756,2.507,1
-6.856,39.223,1
37.099,-8.668,1
37.707,-1.613,1
60.942,25.61,1
-37.884,147.972,1
53.892,20.67,1
38.882,22.451,1
50.779,5.075,1
47.201,7.761,1
47.751,6.494,1
30.706,-83.11,1
47.351,-70.078,1
42.769,-2.831,1
39.655,22.438,1
46.238,1.534,1
48.061,-0.734,1
43.71,1.816,1
46.627,1.051,1
57.42,-5.464,1
42.053,-84.769,1
45.389,5.271,1
47.985,-68.676,1
53.277,-109.96,1
-26.288,29.027,1
46.845,15.538,1
53.442,15.12,1
53.8,-1.664,1
53.128,-1.981,1
45.286,11.143,1
60.722,14.877,1
59.451,26.693,1
56.545,8.284,1
59.32,11.916,1
42.588,-5.651,1
60.138,-1.184,1
42.027,-3.757,1
46.435,16.749,1
-37.911,144.093,1
43.31,25.042,1
30.937,-91.712,1
57.906,16.699,1
-33.481,150.16,1
-38.477,145.943,1
49.232,0.835,1
46.862,-1.033,1
49.969,-5.188,1
44.9,-0.212,1
-26.154,26.161,1
52.71,-1.814,1
48.72,7.995,1
51.988,14.302,1
56.53,21.043,1
49.478,-1.475,1
40.876,-96.643,1
51.591,-113.496,1
53.25,-0.52,1
52.834,19.166,1
-29.43,147.983,1
53.033,8.162,1
49.029,3.026,1
-35.227,146.706,1
53.753,-112.776,1
43.009,-81.177,1
55.483,9.352,1
52.12,12.074,1
56.014,-5.446,1
47.14,0.989,1
54.563,-0.863,1
52.64,8.244,1
50.406,-112.479,1
-28.878,121.319,1
53.725,-7.874,1
47.221,5.248,1
37.643,-1.682,1
45.107,3.748,1
47.681,-1.453,1
40.977,-96.179,1
59.338,17.829,1
45.976,20.767,1
52.122,19.994,1
41.681,-79.892,1
37.682,-0.948,1
50.217,-113.371,1
41.742,14.686,1
-9.396,34.437,1
46.469,28.193,1
53.55,-6.207,1
43.642,-96.216,1
46.376,-71.587,1
41.893,12.493,1
43.32,13.405,1
50.369,23.645,1
-30.71,152.918,1
40.459,-90.629,1
52.589,-3.852,1
44.006,-97.147,1
42.132,26.095,1
-37.972,146.985,1
51.304,0.483,1
45.119,-75.704,1
-33.472,18.715,1
54.157,12.567,1
46.823,-100.851,1
43.824,5.798,1
53.512,-2.235,1
39.003,-3.37,1
54.506,-7.689,1
43.279,5.354,1
-37.005,143.76,1
47.362,16.24,1
